"","hexID","decID","l4hex","l4dec","idx","recapCount","firstObserved","lastObserved","x","HEX.Tag.ID","Species","Length.Inches","Client"
"30","3DD.003E057EEE","989.001040547566","7EEE","7566",51,3,2022-04-27 11:43:00,2022-07-25 11:00:00,"Image_Data/APP-4-27-22.csv, Reader_Data/Fish-Recapture-Beta-Working.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E057EEE","Brown",7,"Squier"
"661","3DD.003E2974D2","989.001042904274","74D2","4274",433,3,2022-07-06 11:00:00,2022-09-05 11:00:00,"Reader_Data/8-19-22-Brett-Reader.csv, Reader_Data/Fish-Recapture-Beta-Working.csv, Reader_Data/7-6-22-Reader.csv","3DD.003E2974D2","Rainbow",16,"Wolfson"
"13","3DD.003E057EDD","989.001040547549","7EDD","7549",62,2,2022-04-27 12:15:00,2022-05-18 11:00:00,"Image_Data/APP-4-27-22.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E057EDD","Brown Trout",14.6,NA
"56","3DD.003E057F0A","989.001040547594","7F0A","7594",12,2,2022-04-28 11:00:00,2022-07-25 11:00:00,"Reader_Data/Fish-Recapture-Beta-Working.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E057F0A","Brown Trout",15.6,NA
"80","3DD.003E057F22","989.001040547618","7F22","7618",20,2,2022-04-27 10:57:00,2022-07-08 11:00:00,"Image_Data/APP-4-27-22.csv, Reader_Data/7-8-22-Reader.csv","3DD.003E057F22","Brown",14,"Ames"
"155","3DD.003E0580FB","989.001040548091","80FB","8091",100,2,2022-04-27 12:37:00,2022-05-05 01:48:00,"Image_Data/APP-4-27-22.csv, Mobile_Data/05_05_2022_floating_array.csv","3DD.003E0580FB","Brown Trout",5.5,NA
"157","3DD.003E0580FE","989.001040548094","80FE","8094",8,2,2022-04-27 10:52:00,2022-04-27 12:35:00,"Image_Data/APP-4-27-22.csv, Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580FE",NA,NA,NA
"165","3DD.003E058107","989.001040548103","8107","8103",123,2,2022-04-27 13:41:00,2022-04-28 11:00:00,"Image_Data/APP-4-27-22.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E058107","Brown",12.4,NA
"175","3DD.003E058111","989.001040548113","8111","8113",172,2,2022-04-27 14:39:00,2022-04-28 11:00:00,"Image_Data/TAT-4-27-22-Full.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E058111","Brown ",NA,NA
"178","3DD.003E058114","989.001040548116","8114","8116",174,2,2022-04-27 14:40:00,2022-04-28 11:00:00,"Mobile_Data/Beta_4-27-22-working.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E058114","Brown",NA,NA
